unique-port,packetsIn,packetsOut,bytesIn,bytesOut
55871,6,6,3571,517
55872,6,6,3571,517
55873,128,117,31310,20684
55874,177,140,97709,87835
55875,17,16,6306,1093
55876,5931,2380,8038221,9019
55877,17,18,4781,904
55878,4,6,127,228
55879,8,11,4345,517
55880,23,17,5998,1769
55881,42,57,6106,53966
55882,442,430,31145,8747
55883,16,17,5175,2425
55884,27416,10055,37163385,85375
55885,15,14,4587,1839
55886,86,32,105109,4703
55887,6,6,3571,517
55888,20,17,6056,1553
55889,84,44,103031,5748
55890,18,17,7971,1528
55891,21,16,5566,1634
55892,85,39,107729,4345
55893,22,23,7185,5091
55894,12,12,6287,1377
55895,83,38,104642,4350
55896,23,22,20302,3833
55897,16,16,5667,2335
55898,15,14,5685,2336
55899,15,18,5690,2333
55900,70,57,19319,13539
55901,17,19,3860,2068
55902,85,39,106662,4352
55903,24,23,7289,10132
55904,84,41,105768,4353
55905,16,16,6724,1064
55906,16,13,6643,1121
55907,84,39,101656,5750
55908,87,40,106671,5743
55909,24,19,12046,4764
55910,15,17,5701,2334
55911,15,15,5683,2337
55912,15,18,5684,2334
55913,35,34,10170,6120
55914,83,33,103977,4343
55915,19,16,6056,2434
55916,81,36,101735,4350
55917,20,19,10325,3335
55918,84,32,105766,4352
55919,12,9,5883,1161
55920,92,27,109618,2605
55921,14,13,5718,2608
55922,25,24,7481,6467
55923,12,10,9012,947
55924,168,25,214529,3320
55925,11,9,5122,1291
55926,11,9,5122,1292
55927,81,34,101740,4348
55928,18,18,5689,3736
55929,16,20,5696,2335
55930,18,19,5682,3733
55931,8,8,4344,517
55932,8,7,4340,517
55933,55,48,14909,11857
55934,87,36,106721,4690
55935,86,27,105793,4701
55936,84,28,105744,4340
55937,83,31,105766,4349
55938,14,16,8232,927
55939,86,32,105434,5052
55940,15,16,5663,2338
55941,15,15,5698,2335
55942,15,16,5692,2335
55943,79,74,25430,16755
55944,11,11,4694,1420
55945,11,12,4965,2260
55946,12,15,5979,1476
55947,83,26,103814,4345
55948,87,40,109444,4350
55949,138,53,175637,16038
55950,18,19,5945,1598
55951,24,17,20911,3840
55952,85,30,107539,4353
60625,7,6,1910,41
62473,84,84,14369,1343
